MW;1-2;2-2;3-2;4-2;5-2;6-2;7-2;8-2;9-2;10-2;11-2;12-2;13-2;14-2;15-2;16-2;17-2;18-2;19-2;20-2;21-2;22-2;23-2
4,2982;74,9679;125,6469;103,8735;112,4007;210,7037;132,8278;258,992;164,4589;73,4879;73,8728;104,5489;57,8325;100,3496;176,8634;204,3617;80,0724;91,1994;84,8145;119,8815;60,8392;197,4401;115,4036;91,6545
4,3661;77,278;125,1916;106,142;113,1522;218,5064;135,5153;267,0861;163,5076;80,0065;72,5402;103,9789;63,8741;99,8938;176,5175;203,7193;86,0245;90,2993;83,9713;120,179;60,48;208,7321;117,6881;93,1011
4,434;77,2143;123,0527;113,6337;114,7481;214,2127;136,5226;274,5811;158,1354;76,369;74,9952;99,4962;63,7623;105,4448;175,9105;202,3578;88,5555;90,5311;89,9456;123,5455;60,6691;216,5253;117,2823;97,3741
4,5019;78,1623;125,0931;109,5541;120,3263;207,8911;137,0076;282,2982;155,9469;77,8281;74,5198;96,9594;64,2575;103,2713;163,5546;199,1235;83,19;93,5504;91,9284;147,5432;61,7119;220,7385;120,686;98,7058
4,5698;80,4957;127,4039;111,1344;125,7558;204,1953;137,3403;301,1932;150,4346;79,9986;72,8436;100,7567;69,9663;99,7238;160,9526;190,4457;85,8439;97,7902;88,1279;158,8325;61,2183;227,6305;118,3453;101,6934
4,6376;80,8824;123,4764;104,5281;129,788;198,6641;134,6705;294,4518;142,4701;74,7728;76,0882;102,1048;74,7656;96,591;159,2547;187,0742;86,0838;101,2288;87,7468;164,1625;62,155;231,4618;115,859;107,9289
4,7055;79,5527;127,4951;103,4104;126,6252;191,6471;134,1597;292,5456;131,0856;75,7923;80,6067;98,2418;75,492;103,0712;149,0919;187,3024;78,7866;109,5908;88,9708;159,6051;64,0213;235,0864;114,5422;110,7911
4,7734;78,7252;128,494;107,8848;122,1818;183,2676;140,0374;290,8685;126,9146;74,1964;82,2803;102,2824;72,8393;106,8227;145,9803;187,304;75,764;113,2062;92,5976;169,4845;61,9599;239,0302;112,5504;110,2808
4,8413;84,6259;127,0037;108,9283;127,6274;170,7146;142,1287;292,8389;125,3735;76,8263;84,086;107,7024;78,0389;108,5056;145,0868;184,8866;75,1653;107,5073;93,1909;175,8126;58,4609;241,0721;114,0179;113,3413
4,9092;86,4566;131,1783;107,6052;129,015;164,6513;144,1273;297,867;108,9989;72,7723;89,5967;107,725;81,0062;110,3383;143,0412;189,8928;72,182;103,7783;91,7423;172,8832;66,9175;235,4071;117,1524;115,1998
4,9901;87,1554;138,9868;106,2857;129,0874;154,1249;143,1671;311,0686;99,0329;70,5403;98,6912;108,7727;76,1919;121,4311;144,3019;197,1751;73,5327;103,133;89,2151;179,1733;71,0271;230,794;115,8359;116,2312
5,1162;90,5088;144,0127;108,0217;137,3923;142,1037;142,2429;313,6367;93,7776;67,9341;112,7056;114,6239;72,5277;130,8783;149,2272;204,8672;80,0599;102,3208;83,8059;187,5814;79,8254;239,6069;112,9306;118,8259
5,2853;93,7088;149,3438;107,8349;139,6419;133,2845;141,8737;312,4403;97,174;72,5724;130,0289;114,4394;79,5663;143,0113;149,8455;214,8172;75,5897;100,834;83,6757;187,8068;94,1654;243,8023;113,5075;127,1112
5,4568;102,2032;161,0415;110,5359;140,9067;118,7057;143,9038;301,2902;99,6962;75,8673;146,8415;113,7607;84,992;160,9118;149,5323;225,8733;72,6267;100,7072;84,551;176,7279;99,8921;237,2722;109,7169;128,7234
5,6283;112,309;173,9283;120,0993;144,3522;109,603;148,3818;301,7212;94,4305;78,5808;164,736;116,8743;86,4454;178,4088;154,4137;240,5797;80,0463;98,6027;79,6947;169,7348;113,0209;229,7972;114,6342;125,9288
5,7999;123,0083;189,4286;130,1354;150,3741;100,1943;154,931;308,7175;103,1527;78,6467;191,7794;117,2491;91,6357;206,6949;160,8985;253,2171;88,3688;93,1908;76,6944;172,5091;133,8932;225,9538;120,2041;130,1204
5,9714;139,3362;205,4941;146,8392;155,3216;96,1417;151,9963;320,3654;113,549;78,7084;227,3604;125,5552;94,6161;239,7826;175,624;272,8259;90,2477;94,6734;76,5686;164,9266;156,2101;217,7024;134,8863;135,5211
6,1429;160,291;229,2758;163,5187;165,383;93,8494;152,691;340,6224;127,0355;83,0113;269,3666;134,3915;109,113;267,8991;186,0296;309,2252;94,6004;98,7511;82,8027;157,0932;180,9106;210,0146;153,14;137,6672
6,3145;188,1041;265,9052;179,0158;176,841;93,223;152,5731;351,6279;147,749;84,542;314,3855;141,0112;123,4294;303,1608;200,4299;350,2295;110,4783;104,3486;85,2408;155,8662;211,6985;208,2199;167,6152;143,8883
6,486;215,4609;303,5165;208,6343;186,1347;94,6255;152,839;371,3139;167,6633;92,5431;369,8895;149,0564;141,2139;350,3603;224,8078;386,8937;132,9673;110,6585;94,8287;156,0201;249,5114;203,5363;193,0802;154,0602
6,6575;247,395;341,3971;247,6916;203,8945;97,4374;162,4213;397,3909;191,4637;103,1034;422,9187;164,3855;159,6593;396,8429;247,8896;417,5224;153,982;122,3988;100,605;162,2947;290,5727;203,2618;227,0209;162,8179
6,8291;281,8552;383,2041;292,8654;231,3006;100,4272;160,7073;429,0281;214,9189;114,1983;485,1946;191,0932;183,3419;438,5592;288,615;456,3585;182,7472;140,2335;110,121;166,826;336,602;207,3342;270,9767;173,8644
7,0006;321,1523;430,6765;336,1712;261,258;104,7989;164,9638;482,5327;244,9204;129,2259;566,8987;211,702;207,5257;481,5292;334,8987;507,1521;219,0223;163,0491;126,0162;177,6316;390,6719;212,2552;300,3686;191,1371
