MW;24-2;25-2;26-2;27-2;28-2;29-2;30-2;31-2;32-2;33-2;34-2;35-2;36-2;37-2
7,543;1260,9966;363,6819;682,0078;341,3511;508,4124;411,1846;626,6427;446,2166;530,3832;304,397;451,7241;-4,784;197,1473;519,4499
7,7017;1318,0512;400,6841;769,3701;381,3858;558,5026;473,6104;709,2283;497,8928;598,1381;353,6934;506,7246;-3,0067;219,9959;587,1433
7,8604;1332,3201;435,7429;858,7545;432,5818;620,8276;539,0528;793,6559;550,8824;682,5722;408,5392;570,2342;-1,5201;240,4178;657,7748
8,0191;1361,7728;466,6193;958,5355;476,1167;680,5158;605,2749;883,3774;618,2133;756,8099;473,181;622,9143;0,3172;267,4583;743,1369
8,1779;1397,3672;495,2374;1063,3128;518,3098;732,6716;673,2192;968,0503;690,6271;826,057;566,1255;674,6437;2,7928;298,3484;829,8906
8,3366;1421,7731;517,9385;1164,3967;573,9934;775,2676;743,3562;1079,3577;751,2595;897,2997;659,138;730,2545;-1,557;337,3358;878,0407
8,4953;1425,4109;540,8554;1255,7786;610,9228;812,2951;809,143;1185,5677;812,8944;987,0185;754,482;792,5824;-3,4194;375,4374;944,5713
8,654;1428,2495;554,5854;1334,337;641,5642;869,8591;876,9322;1280,8155;884,5928;1064,8957;876,5034;845,9914;0,8381;416,9925;1015,6374
8,8127;1462,3284;574,8552;1398,1416;671,0721;901,7681;965,162;1380,4873;958,8629;1109,8619;1006,039;882,4568;2,8449;462,6162;1041,4446
8,9715;1443,4564;586,9007;1449,4584;705,6541;887,6061;1055,4527;1438,595;1020,9894;1157,347;1160,135;927,758;4,1728;502,6571;1056,0746
9,1302;1399,7234;594,1062;1514,2584;725,3225;870,3807;1119,2676;1534,857;1069,6346;1195,5822;1317,8376;944,4511;3,3118;545,7738;1090,7315
9,2889;1373,4294;602,5785;1541,0733;741,293;854,1934;1176,8691;1571,6871;1123,9668;1224,8166;1478,1376;969,6137;3,5716;592,3031;1133,6661
9,4476;1333,9543;607,5664;1527,2079;760,8939;837,3498;1220,8482;1597,2621;1176,5595;1275,2231;1638,6422;1034,4192;3,3543;624,7488;1132,454
9,6063;1271,8044;611,6521;1543,4457;782,2662;817,0259;1250,0896;1650,6195;1217,8149;1301,0519;1773,2429;1001,8941;5,7568;661,4707;1147,094
9,765;1188,5427;603,2423;1590,1714;799,2198;794,2529;1323,3581;1732,8255;1259,8844;1303,2257;1885,3757;984,8999;10,9842;727,2807;1159,7762
9,9238;1102,2257;583,9516;1561,6731;814,4877;778,626;1351,19;1714,0396;1282,1222;1324,396;1990,7382;1018,3904;9,1128;785,3906;1185,1622
10,0825;1035,8144;554,385;1550,3112;836,4356;777,575;1376,2194;1708,244;1284,7283;1346,9357;2045,4984;1082,8942;9,8351;821,4179;1195,4516
10,2412;958,039;522,0477;1539,3183;826,7522;750,3686;1363,3228;1767,5474;1298,6734;1282,3724;2068,344;1051,1247;13,3726;857,1972;1195,0535
10,3999;891,9117;496,5239;1512,1804;802,2943;722,4214;1382,5719;1756,0283;1267,4192;1232,2376;2029,0662;1041,7703;14,6954;858,425;1176,9633
10,5586;847,1023;433,6413;1459,2591;773,913;667,1478;1311,9199;1697,2947;1174,3327;1191,5062;1941,7701;996,5415;12,646;881,7278;1135,0105
10,7174;799,4687;377,4162;1448,9893;751,4887;607,3824;1256,6806;1613,7899;1100,7498;1107,4166;1828,5963;905,8275;10,9532;895,2904;1074,6514
10,8761;763,8492;329,8976;1331,7209;720,3559;562,1812;1169,4826;1512,9562;1022,4684;1007,9769;1723,0518;824,7261;5,8706;878,7936;986,6236
11,0348;735,0914;279,7192;1214,2615;656,613;502,2017;1065,9429;1398,4318;942,4282;904,3507;1552,9063;731,1491;1,4249;844,2752;863,8579
11,1935;698,3617;232,1024;1145,944;592,6363;433,0883;979,7355;1293,7276;862,9919;797,8345;1325,9501;630,5251;1,706;798,7476;740,0191
11,3522;670,6791;198,415;1042,5618;536,5417;374,623;902,9177;1173,6717;787,6419;683,7072;1118,4484;537,8648;2,7194;737,5756;659,9208
11,511;645,536;168,0718;935,8879;487,5331;325,768;802,6779;1034,6685;720,3222;576,5269;920,4955;464,6733;1,4904;676,0192;584,176
11,6697;615,7175;142,6233;869,9816;457,8497;285,6356;700,1186;913,515;667,4702;488,5291;756,1222;397,7044;0,363;619,4334;527,539
11,8284;577,3699;113,0515;811,2056;448,7928;256,9179;613,1132;802,2988;635,3264;426,5307;615,8173;335,2729;0,9523;531,8532;462,841
11,9925;536,2578;98,2049;753,2413;433,8495;241,3488;547,7335;693,0587;612,7919;358,0552;512,5014;291,1268;4,3206;491,1524;432,9907
12,1744;515,5519;83,2337;705,223;413,5719;226,0627;505,118;595,8701;578,7425;302,4783;424,3849;251,1037;2,6959;450,9967;393,6952
12,3629;489,9473;78,3122;643,915;411,3904;214,5036;460,873;519,9053;544,0403;261,67;353,2572;215,7559;3,4593;412,2798;364,6783
12,552;451,3764;72,7473;594,4145;429,6664;216,0913;416,8799;465,7261;532,9011;228,1609;298,6938;193,77;-0,7508;354,6118;345,1991
12,7412;423,5073;67,1096;577,4073;456,0574;223,514;394,728;425,0743;502,1836;196,6451;259,3367;177,4072;-6,8945;337,9576;337,9338
12,9303;402,1446;64,5752;539,697;508,3275;232,6889;386,5078;380,2477;490,8962;167,9697;225,2762;164,3624;-5,5721;325,5383;326,2293
13,1194;373,2511;66,076;499,3008;538,1233;249,2612;386,1888;350,4541;487,4527;147,7389;198,0975;160,4991;-4,0615;304,3732;323,6984
13,3085;351,513;69,2303;480,8129;583,8978;262,2988;376,8207;331,5162;494,358;135,5454;184,7157;148,949;-0,7137;292,2227;325,8836
13,4977;343,526;66,4759;458,1285;636,671;302,3566;370,6571;319,315;487,4411;128,512;179,7854;151,6133;0,6133;283,139;332,1742
13,6868;332,5331;67,9182;451,3929;696,736;333,5204;383,5605;318,5047;469,8553;131,6495;181,355;160,2457;-2,1382;281,761;352,5213
13,8759;321,3463;67,3715;456,9192;753,1882;363,3331;398,2597;326,5393;480,5281;133,2018;177,6922;152,9294;-0,4023;278,404;369,0125
14,0651;319,0967;65,0037;456,0695;808,5598;402,5182;408,2334;327,0722;475,3703;126,6754;172,4875;150,5377;1,1348;269,8831;376,296
14,2542;324,0535;58,1826;457,8954;869,1727;455,9636;436,0443;334,1366;481,69;117,1092;170,3832;148,1478;0,3596;266,2996;379,6444
14,4433;323,6241;56,6239;464,9103;922,3359;504,271;453,2182;345,9189;477,4337;111,5643;169,6062;145,9961;1,83;268,2733;384,2918
14,6325;333,2652;50,9345;461,6544;985,3755;544,6788;469,152;356,6347;463,2687;116,5453;171,467;139,5759;2,3787;274,8076;391,3739
14,8216;344,6801;47,5232;468,5517;1026,8;597,6753;471,0945;359,8757;458,3492;119,2088;186,4524;139,1217;3,5153;285,9975;395,0231
15,0107;371,4388;50,2006;471,8475;1068,8106;653,3781;496,544;367,7848;438,5124;120,8664;181,9708;134,8875;3,4374;302,7148;396,4067
15,1998;379,8291;47,9462;475,4019;1134,0782;707,4296;507,2099;379,1545;409,1814;135,0354;163,9038;133,7818;2,9326;320,2999;400,2068
15,389;381,0592;42,2078;490,9179;1160,3727;766,2914;512,9708;391,0459;384,0681;144,0662;154,4184;131,6813;4,9569;330,4111;408,5326
15,5781;394,4253;35,6157;483,4551;1162,8316;821,8244;536,6559;402,4657;347,6994;141,0261;153,4526;118,7087;8,2233;339,4486;415,8216
15,7672;413,1469;33,7047;472,9713;1202,5176;872,4312;551,3249;412,8894;322,7515;142,5621;157,9271;117,2009;6,4669;337,9378;408,6161
15,9564;420,5326;30,6575;488,694;1243,938;927,1976;557,6302;418,8022;294,7553;156,7386;154,7641;119,2752;-0,3622;350,3517;400,2507
16,1455;407,7746;27,946;494,8297;1242,6939;976,4733;550,0689;422,0507;267,4722;180,4409;148,4608;118,3497;-1,9081;371,1498;405,1625
16,3346;410,7386;26,2123;484,2232;1225,2615;1010,3057;523,6953;428,4571;249,6838;187,6933;147,5699;112,5176;-2,6097;372,5064;394,6468
16,5238;406,5989;23,1635;468,5072;1196,3608;1040,9752;497,6084;435,7987;238,7766;210,2353;139,8181;107,3696;2,6445;369,5719;380,6365
16,7129;388,7774;24,7173;446,5729;1115,7323;1067,9758;474,9873;439,7687;223,5178;237,7649;138,479;109,8438;-2,8058;364,3302;365,4065
16,902;367,9617;20,6588;433,8532;1017,688;1073,9139;455,7558;438,2115;219,6689;255,725;133,6204;103,6602;-1,5881;351,8283;341,4715
17,0912;345,1391;14,2667;423,0492;911,0665;1050,6736;423,9046;431,5727;213,7972;285,8669;135,3274;96,9191;-4,3533;342,1218;317,4907
